exp_name,test_acc,test_loss,train_acc,train_loss,valid_acc,valid_loss
BTS,0.9982404886793704,0.18713788462449624,0.9985603475659116,0.18788636443280185,0.99856548558313,0.18816690390960114
FNDNet_w_freeze_w2e,0.8484164398114336,0.3981025029542081,0.9561648888752268,0.12637052792435705,0.8717134250056356,0.3392627650374517
FNDNet_wo_freeze_w2e,0.8484164398114336,0.39810250295420824,0.9561648888752267,0.12637052792435705,0.8717134250056356,0.33926276503745173
HAN_w_freeze_w2e,0.8818139565765886,0.2800788821936664,0.9239904501347432,0.18945671503736025,0.9087648830870748,0.2259815868906949
HAN_wo_freeze_w2e,0.8804528251776109,0.29152683459096035,0.9215056407734159,0.1961027653802425,0.9051581039818022,0.2333962861155965
