
load saved data
load saved data
TRAIN [  36/10000] Loss: 0.4958 (0.6356) Acc: 66.667% LR: 3.600e-07 Time: 0.186s,   43.12/s (0.226s,   35.37/s) Data: 0.002 (0.026)
TRAIN [  37/10000] Loss: 0.5010 (0.6320) Acc: 66.892% LR: 3.700e-07 Time: 0.185s,   43.24/s (0.225s,   35.54/s) Data: 0.002 (0.025)
TRAIN [  38/10000] Loss: 0.5027 (0.6286) Acc: 67.434% LR: 3.800e-07 Time: 0.185s,   43.23/s (0.224s,   35.71/s) Data: 0.002 (0.025)
TRAIN [  39/10000] Loss: 0.5104 (0.6256) Acc: 67.628% LR: 3.900e-07 Time: 0.184s,   43.41/s (0.223s,   35.88/s) Data: 0.002 (0.024)
TRAIN [  40/10000] Loss: 0.3754 (0.6193) Acc: 68.438% LR: 4.000e-07 Time: 0.185s,   43.15/s (0.222s,   36.03/s) Data: 0.002 (0.023)
TRAIN [  41/10000] Loss: 0.4283 (0.6146) Acc: 68.902% LR: 4.100e-07 Time: 0.186s,   43.00/s (0.221s,   36.17/s) Data: 0.002 (0.023)
TRAIN [  42/10000] Loss: 0.7672 (0.6183) Acc: 68.452% LR: 4.200e-07 Time: 0.185s,   43.28/s (0.220s,   36.31/s) Data: 0.002 (0.022)
TRAIN [  43/10000] Loss: 0.4424 (0.6142) Acc: 69.186% LR: 4.300e-07 Time: 0.186s,   42.95/s (0.220s,   36.44/s) Data: 0.002 (0.022)
TRAIN [  44/10000] Loss: 0.5290 (0.6123) Acc: 69.318% LR: 4.400e-07 Time: 0.184s,   43.38/s (0.219s,   36.58/s) Data: 0.002 (0.022)
TRAIN [  45/10000] Loss: 0.4525 (0.6087) Acc: 69.722% LR: 4.500e-07 Time: 0.185s,   43.35/s (0.218s,   36.70/s) Data: 0.002 (0.021)
TRAIN [  46/10000] Loss: 0.5252 (0.6069) Acc: 70.109% LR: 4.600e-07 Time: 0.185s,   43.26/s (0.217s,   36.82/s) Data: 0.002 (0.021)
TRAIN [  47/10000] Loss: 0.5122 (0.6049) Acc: 70.213% LR: 4.700e-07 Time: 0.186s,   43.11/s (0.217s,   36.94/s) Data: 0.002 (0.020)
TRAIN [  48/10000] Loss: 0.4955 (0.6026) Acc: 70.312% LR: 4.800e-07 Time: 0.188s,   42.63/s (0.216s,   37.04/s) Data: 0.002 (0.020)
TRAIN [  49/10000] Loss: 0.5963 (0.6025) Acc: 70.408% LR: 4.900e-07 Time: 0.186s,   42.96/s (0.215s,   37.15/s) Data: 0.002 (0.020)
TRAIN [  50/10000] Loss: 0.3818 (0.5980) Acc: 70.750% LR: 5.000e-07 Time: 0.186s,   43.06/s (0.215s,   37.25/s) Data: 0.002 (0.019)
TRAIN [  51/10000] Loss: 0.7417 (0.6009) Acc: 70.588% LR: 5.100e-07 Time: 0.186s,   43.07/s (0.214s,   37.35/s) Data: 0.002 (0.019)
TRAIN [  52/10000] Loss: 0.5437 (0.5998) Acc: 70.673% LR: 5.200e-07 Time: 0.189s,   42.28/s (0.214s,   37.43/s) Data: 0.004 (0.019)
TRAIN [  53/10000] Loss: 0.3865 (0.5957) Acc: 71.226% LR: 5.300e-07 Time: 0.186s,   42.96/s (0.213s,   37.52/s) Data: 0.002 (0.018)
TRAIN [  54/10000] Loss: 0.5781 (0.5954) Acc: 71.065% LR: 5.400e-07 Time: 0.186s,   43.10/s (0.213s,   37.61/s) Data: 0.003 (0.018)
TRAIN [  55/10000] Loss: 0.5446 (0.5945) Acc: 71.136% LR: 5.500e-07 Time: 0.187s,   42.84/s (0.212s,   37.70/s) Data: 0.002 (0.018)
TRAIN [  56/10000] Loss: 0.6043 (0.5947) Acc: 71.205% LR: 5.600e-07 Time: 0.186s,   43.03/s (0.212s,   37.78/s) Data: 0.002 (0.017)
TRAIN [  57/10000] Loss: 0.5092 (0.5932) Acc: 71.272% LR: 5.700e-07 Time: 0.185s,   43.30/s (0.211s,   37.87/s) Data: 0.002 (0.017)
TRAIN [  58/10000] Loss: 0.4611 (0.5909) Acc: 71.552% LR: 5.800e-07 Time: 0.186s,   43.10/s (0.211s,   37.94/s) Data: 0.002 (0.017)
TRAIN [  59/10000] Loss: 0.6842 (0.5925) Acc: 71.398% LR: 5.900e-07 Time: 0.186s,   43.12/s (0.210s,   38.02/s) Data: 0.002 (0.017)
TRAIN [  60/10000] Loss: 0.5721 (0.5921) Acc: 71.250% LR: 6.000e-07 Time: 0.186s,   43.06/s (0.210s,   38.10/s) Data: 0.002 (0.016)
TRAIN [  61/10000] Loss: 0.5985 (0.5922) Acc: 71.311% LR: 6.100e-07 Time: 0.185s,   43.31/s (0.210s,   38.17/s) Data: 0.002 (0.016)
TRAIN [  62/10000] Loss: 0.6082 (0.5925) Acc: 71.169% LR: 6.200e-07 Time: 0.186s,   43.06/s (0.209s,   38.24/s) Data: 0.002 (0.016)
TRAIN [  63/10000] Loss: 0.4998 (0.5910) Acc: 71.230% LR: 6.300e-07 Time: 0.188s,   42.63/s (0.209s,   38.30/s) Data: 0.002 (0.016)
TRAIN [  64/10000] Loss: 0.3333 (0.5870) Acc: 71.680% LR: 6.400e-07 Time: 0.185s,   43.20/s (0.208s,   38.37/s) Data: 0.002 (0.016)
TRAIN [  65/10000] Loss: 0.4838 (0.5854) Acc: 71.923% LR: 6.500e-07 Time: 0.186s,   42.97/s (0.208s,   38.44/s) Data: 0.002 (0.015)
TRAIN [  66/10000] Loss: 0.5676 (0.5851) Acc: 71.970% LR: 6.600e-07 Time: 0.186s,   43.00/s (0.208s,   38.50/s) Data: 0.002 (0.015)
TRAIN [  67/10000] Loss: 0.4265 (0.5828) Acc: 72.388% LR: 6.700e-07 Time: 0.185s,   43.21/s (0.207s,   38.56/s) Data: 0.002 (0.015)
TRAIN [  68/10000] Loss: 0.4884 (0.5814) Acc: 72.426% LR: 6.800e-07 Time: 0.187s,   42.70/s (0.207s,   38.62/s) Data: 0.002 (0.015)
TRAIN [  69/10000] Loss: 0.5661 (0.5812) Acc: 72.464% LR: 6.900e-07 Time: 0.190s,   42.17/s (0.207s,   38.66/s) Data: 0.002 (0.015)
TRAIN [  70/10000] Loss: 0.4651 (0.5795) Acc: 72.679% LR: 7.000e-07 Time: 0.186s,   43.02/s (0.207s,   38.72/s) Data: 0.002 (0.014)
